,body_type
27334,0
42243,1
20458,0
3010,0
51026,0
19043,0
56568,0
36138,0
52745,0
1024,0
54314,0
40923,1
315,0
33055,0
8059,0
16808,0
37120,0
22359,0
41242,0
29216,0
26191,0
33631,0
46766,0
52497,0
19705,1
45968,1
53453,0
42939,1
19573,0
7027,0
40124,0
24842,0
48789,0
16569,0
16717,1
14169,0
38103,0
39731,0
29118,0
32025,1
22953,0
32079,0
56928,0
53582,0
36734,1
44031,0
164,0
56307,1
41825,0
21279,0
58037,1
39083,0
3015,0
42916,0
24406,0
8505,0
32101,0
44892,0
35431,0
28264,0
47747,0
4907,0
8305,0
55915,0
45237,0
46358,0
36035,0
27077,0
47340,0
40101,0
18301,0
2553,0
13796,0
54441,1
14403,0
13253,0
49797,0
1153,0
2599,0
24638,0
28210,0
23600,0
16604,0
51073,0
37528,0
47666,0
2936,0
18922,1
46743,1
13152,0
45056,1
6939,0
49639,1
3258,0
56369,0
27376,0
27823,0
16809,1
27028,0
33531,0
35052,0
29355,0
49438,0
15809,0
36189,0
55455,0
24122,0
28518,0
56947,0
26162,1
3252,0
39656,0
46635,0
22499,1
43552,1
34814,0
1697,0
51935,1
42235,0
33205,0
5287,1
27969,0
13010,0
2884,0
54242,1
43740,0
43358,0
57545,0
25931,0
37286,0
20807,1
5574,0
29333,0
49017,0
18155,0
53955,1
29639,0
11317,0
58622,0
35471,0
19029,0
36329,0
16592,0
29599,0
56523,0
8995,0
28689,1
8164,1
49832,0
16368,0
17454,0
29816,0
28700,0
12420,0
30012,1
34489,0
53711,0
7492,1
3852,0
56607,0
42895,1
18941,1
9713,0
34317,0
35313,0
49554,0
37911,0
50424,0
49109,0
6256,0
15833,0
7389,0
46111,0
16659,0
45747,0
43989,0
52792,0
31300,0
28408,0
32774,0
14779,0
30476,0
57266,0
33331,1
46089,0
53147,0
25619,0
29871,0
6707,0
52527,0
32857,1
22886,0
29160,0
48627,0
15726,0
37086,0
898,1
46630,0
41619,0
24434,0
24798,1
22008,0
58119,0
41742,0
39778,0
528,0
21570,0
8192,0
6592,0
27787,0
51210,0
23108,0
46276,0
15499,0
52512,0
25109,1
35995,0
57044,0
36422,1
33116,0
32108,0
57344,0
36583,0
18572,0
47038,0
36644,0
55500,0
30828,0
43783,0
6489,0
52708,0
19733,0
55096,0
46569,0
4402,1
57090,0
37066,0
48863,0
4203,0
10188,0
4093,0
42827,0
27480,0
33687,0
4430,0
39771,0
55759,0
32951,0
3885,0
30033,0
11369,0
40833,0
3609,0
58674,0
32195,0
35047,0
58704,0
17814,0
25189,0
1775,0
34566,0
27305,0
14875,0
32771,0
35990,0
28113,0
43439,0
34604,0
12046,0
53237,0
53887,1
6265,0
9526,1
44341,0
22638,0
30305,1
35583,0
20063,0
9954,0
59519,0
37313,0
653,0
48634,0
48722,0
1640,0
54025,0
45841,0
15931,0
38362,0
9028,0
20115,0
22341,0
28754,1
21604,0
24683,1
33895,0
49446,0
11320,0
38079,0
46606,0
47160,0
29937,0
6009,0
15402,1
42061,0
47846,0
13252,0
29558,0
30890,1
27806,0
34866,0
8471,0
19776,0
21783,0
32779,0
51585,0
46198,0
9866,0
51214,0
14450,0
36691,0
48440,0
58921,0
1926,0
24978,0
40436,1
42342,0
32454,0
23324,0
33645,0
20929,0
46707,1
2067,0
27944,0
13876,0
22838,0
52140,0
41112,0
56334,1
35182,0
6950,0
30659,1
3012,0
25185,0
42228,1
54003,0
14857,0
13183,0
59424,0
4228,0
47493,0
25778,1
55209,1
24440,1
52105,0
25415,1
57411,0
5353,0
9115,0
21087,1
49804,0
17816,0
58059,0
32065,0
45213,1
29711,0
51977,0
29802,0
55344,0
40286,0
2576,0
30762,0
31579,0
27292,0
49034,0
2923,1
59680,0
26843,1
17626,0
55131,0
2842,0
41246,0
24610,0
35857,0
15860,0
41653,0
19226,0
19854,0
24806,0
44944,0
56490,0
30853,0
12156,0
44450,0
40827,0
6387,0
7207,0
48804,0
58132,0
14715,0
31839,0
21351,1
31045,0
58469,0
36076,0
58155,0
29780,0
26346,0
31801,0
27679,0
45318,0
37172,0
37122,1
46471,0
28241,0
113,1
50349,0
25726,0
17570,0
38412,0
45765,1
35589,1
23070,0
7369,0
20310,0
54350,0
48561,0
48492,1
30553,0
10956,0
752,0
55513,0
54116,0
40908,0
38762,0
23767,0
30244,0
34606,0
23787,0
58115,0
45509,0
43361,0
58761,0
3735,0
21156,0
930,0
7347,0
35561,0
33798,1
16059,0
9989,0
57994,0
52873,1
56261,1
18582,0
33609,0
55699,0
58737,1
17552,0
30049,0
46548,0
34872,0
49845,0
8282,0
3167,0
50035,1
33951,1
10107,0
23671,1
35538,0
30319,0
41193,0
13690,0
4527,0
47757,1
57205,0
18558,1
10459,1
8162,0
3864,0
39475,0
17379,0
50074,0
15108,0
5806,1
11555,0
15536,0
15030,0
40136,0
1744,0
59006,0
13591,0
50575,0
21398,0
45216,0
54104,1
8210,0
9969,1
40451,0
30064,0
42976,0
42813,0
55857,1
48820,0
23575,0
10890,0
12196,1
34884,0
3205,0
16574,0
44324,0
48892,1
31712,0
57777,0
5342,1
54144,1
24553,0
54733,0
10486,0
8288,0
27369,1
10864,0
53676,0
7322,0
12144,1
48792,0
55402,0
14078,0
25351,0
19636,0
49722,0
22514,0
44303,1
23820,0
2119,0
39064,0
53376,0
58616,0
5398,0
23088,0
23388,0
52908,0
32831,0
42363,0
56299,1
23577,0
9167,0
9267,0
42668,0
30186,0
11430,1
52898,0
5059,0
9073,0
25835,0
49157,0
54837,0
17894,1
7477,0
29695,0
20152,0
24644,0
19826,0
23335,0
55246,0
21614,0
41735,0
10969,0
51241,0
14497,0
15917,1
29152,0
40716,0
21123,0
46579,0
27711,1
19028,0
39792,0
31054,0
44665,0
52471,0
50518,0
5445,0
38971,0
28431,0
14720,0
520,0
23230,0
17591,0
15960,0
57970,0
5751,0
20875,0
22462,0
33340,0
4070,0
45456,0
21497,0
12544,0
34155,0
56205,0
46487,0
27190,0
49348,0
41447,0
50224,0
26646,0
52640,0
29297,0
27187,0
37748,1
1594,0
48963,0
19880,0
1604,0
42157,1
47577,0
58062,0
38242,0
33051,1
15379,1
27202,0
42102,1
56838,0
38074,0
40943,0
45606,0
26993,0
56408,1
28439,0
25662,1
29383,0
31312,0
47518,0
10380,1
8783,0
25816,0
8289,0
34472,0
10428,0
33452,0
22192,0
51166,0
4529,0
31262,0
48521,0
1608,1
9480,0
52388,0
52070,0
35528,0
34642,0
24706,0
10922,0
40319,0
52301,1
29502,1
22574,0
1108,0
55725,0
27931,0
6897,0
23361,0
51360,1
52374,0
52740,0
58347,0
53852,0
18480,0
31735,1
40752,1
13406,0
3171,0
31630,0
59834,0
29958,0
18536,0
6325,0
26089,0
3080,1
53950,1
14106,0
43819,0
23355,1
19142,1
38119,0
55185,0
19672,0
52431,1
34860,0
25728,1
42277,0
54556,0
54425,0
57861,0
19766,0
32453,0
6081,0
42606,1
40524,0
47481,0
5909,1
50785,0
27364,0
53021,0
7672,0
26902,0
40590,0
58411,0
41509,0
32054,1
47859,0
32250,0
56891,0
13285,0
1207,0
56129,0
54206,0
52143,0
45624,0
25215,1
15898,0
15769,0
40486,0
19355,0
19931,0
10315,0
55172,0
33746,0
57967,0
6964,0
8429,0
14342,1
49644,0
16142,0
58202,0
37096,0
37700,0
32710,0
3348,0
37520,0
42183,0
52361,0
45818,0
24491,0
28033,0
42705,0
48728,1
59430,0
3598,0
36275,1
55514,0
43327,0
37993,0
33642,0
41041,0
40325,0
44348,0
50894,0
9308,0
18521,0
9417,1
39061,0
43735,0
44623,0
13955,0
36939,0
29054,0
49204,0
43616,0
44851,0
21544,0
10020,0
47309,0
224,1
39138,1
11720,0
29585,0
20852,0
979,0
47749,1
41467,0
23845,0
551,0
32608,0
33442,0
24856,1
19943,0
9200,0
48909,1
7151,0
49713,0
38886,1
3456,0
48285,0
46304,0
38397,1
33857,0
44741,0
31681,0
17286,0
30440,0
6245,0
52949,1
22813,0
46343,0
59786,0
19222,0
36336,0
23803,0
7584,0
29757,0
29285,0
47615,0
16379,0
59797,0
13323,0
54451,0
43291,1
16605,1
29298,0
3656,0
7149,0
59294,0
46478,0
1865,0
10,0
41986,0
20191,0
30740,0
52078,0
39897,0
28514,0
33608,1
25030,1
47887,0
47600,0
9749,1
20912,1
26847,0
14511,0
1707,0
54093,1
30292,0
2440,0
15035,0
10254,1
54315,0
33706,0
56422,0
1087,0
26157,1
43008,0
24325,0
46124,0
31503,0
24336,0
10531,0
54369,0
4899,0
44737,0
48036,0
1859,0
9487,0
58559,0
59143,0
9145,1
926,0
10674,0
50830,0
41089,0
7376,0
45044,1
3580,0
28396,0
37952,0
3579,0
34077,0
38293,0
51498,0
17448,1
30281,1
29561,0
37194,0
8787,1
51826,0
34605,0
47166,0
468,0
6867,0
57502,0
22811,1
51899,0
19885,0
23987,0
43428,1
23848,0
57709,0
30272,0
47861,0
51603,0
37118,0
13235,1
24752,0
7883,0
19589,0
41445,0
26016,0
26624,0
32912,0
57962,1
2194,0
58031,1
35403,0
24279,0
57195,0
35582,0
6289,0
6575,1
49567,0
8873,0
4043,0
45903,0
48273,0
53942,0
58196,1
47583,0
6544,0
8685,1
35495,0
49385,0
22895,0
8275,0
30983,0
5149,0
4284,0
42919,0
38777,1
14890,0
25683,1
49959,0
28937,0
6422,1
26025,0
15162,0
45528,0
49731,0
22877,0
37318,0
32625,0
39330,0
55431,0
25968,0
10395,1
30282,0
57565,1
25666,1
34282,0
58203,0
266,0
46363,0
19681,0
31678,0
15028,1
15024,0
22582,0
32290,0
37416,1
6394,0
36530,0
25900,0
57853,0
16233,1
21336,0
33389,1
36550,0
24857,1
9555,1
57903,0
59530,0
25082,0
43786,0
48090,0
13233,0
47403,0
3899,0
5049,1
3501,0
29734,0
53181,0
13538,1
48757,1
41127,0
8361,1
38529,0
52198,0
35447,0
58523,0
30453,0
18628,0
51514,0
10870,0
36986,0
43179,1
11302,0
30123,0
46491,0
25437,0
767,1
29457,0
19870,1
59776,0
31969,0
17034,0
54095,0
24245,0
905,1
15230,0
40587,0
53452,1
21526,0
265,0
44047,0
10095,1
42551,0
28483,0
139,0
12952,0
6204,0
42807,0
30139,0
39922,0
48867,0
10677,0
56426,0
29989,0
24787,0
28649,0
41339,0
58678,0
51189,0
5361,0
492,0
24242,0
30849,0
39857,0
17018,0
17212,0
45725,0
53134,1
11329,0
30700,0
49256,0
628,1
23288,0
55028,0
42229,0
57868,0
53197,1
10112,0
22860,0
40864,0
33672,0
33024,1
53023,0
17085,0
15079,0
52163,0
6414,0
30544,1
52356,0
5993,0
31889,0
42757,0
48049,0
59467,0
50403,0
1967,1
47725,0
45485,0
6827,0
54223,0
52933,0
40651,0
29127,0
38584,1
29430,1
30067,0
34738,0
37047,0
21969,1
40506,0
19932,0
34579,1
30974,1
51354,1
7078,0
41075,0
36203,1
57385,0
5662,0
48488,0
49657,0
1506,0
36677,0
7463,0
41400,0
7907,1
6496,1
9192,1
33989,0
40663,0
56480,0
7278,0
58483,1
56872,0
48215,1
49450,0
18733,1
50213,1
58094,0
8255,0
28986,0
40857,0
34505,1
20037,0
53479,0
7553,1
46390,0
23421,1
41848,0
4404,0
16711,0
17920,0
50161,0
9182,0
37831,0
34434,0
11929,0
39867,0
58667,0
31734,0
4620,0
3172,0
53244,0
17390,1
14894,0
55478,0
45885,1
32369,0
19502,0
35502,1
49504,0
50190,0
25522,0
18266,0
22975,0
59104,0
7871,0
55602,1
22131,1
8634,0
39633,0
6069,0
30273,0
12773,0
1541,0
44908,1
33807,0
25753,1
5409,0
46776,0
37572,0
30841,0
59009,1
39231,0
8015,0
22062,0
1786,0
1891,0
17097,1
726,0
40204,1
32140,0
16027,0
54754,0
54619,0
34778,0
41262,0
17807,0
47334,1
57088,1
39699,0
58393,0
35879,0
49057,0
34272,1
52076,0
21228,1
48923,0
33504,0
22756,0
48912,0
7731,0
15354,1
17948,1
45617,0
48121,0
44182,0
45280,0
28500,1
37684,0
33689,0
24332,0
41880,0
48154,1
22924,0
48837,0
46514,0
47053,1
55294,0
37103,1
42723,0
26408,1
3197,0
44425,1
55813,0
48503,0
3783,0
54975,0
30391,0
19367,0
47482,0
30159,1
32903,0
14388,0
14922,0
47241,0
33240,1
45600,0
42543,0
55667,0
48675,0
8424,0
36273,0
19892,0
41907,0
35622,0
20591,0
7565,0
36297,1
40557,0
50961,0
26599,0
54885,0
46900,0
6941,1
42476,0
12728,1
10873,0
32183,0
41535,0
1632,1
58498,1
43407,0
46366,0
5338,0
51769,0
240,0
24303,0
16909,0
8110,0
35901,0
31937,0
28899,1
26779,0
16782,0
21943,0
40442,0
48017,0
43266,1
6345,1
39387,0
59767,0
54890,0
35730,0
26966,1
41472,0
46204,0
26571,0
15995,0
9165,0
38728,1
59213,0
58940,0
24410,0
1562,0
11602,0
13518,0
36087,1
15955,0
42523,0
39212,0
40558,0
37198,0
5154,0
37590,0
45173,0
43465,0
59318,1
28273,0
54715,0
38910,0
29149,0
5432,0
36765,1
59267,0
11110,0
18438,0
36032,0
29605,0
41831,1
36587,0
30041,0
4667,0
26235,1
27965,0
18102,0
19036,0
4155,0
43248,1
14500,0
12060,0
57304,1
50530,1
54918,0
40567,0
16629,1
26925,1
42190,0
42422,0
38837,0
1842,1
54799,0
23171,0
36682,0
4810,0
46007,1
33535,0
33612,0
51667,0
45025,1
32776,0
17439,0
18769,0
24831,0
10789,0
433,1
41483,0
1243,0
58711,0
12398,0
14845,0
56819,0
4632,0
58586,0
34746,0
16992,1
35569,1
46315,0
52564,0
55911,0
1005,0
3142,0
58054,0
58961,0
45683,0
27269,0
41092,0
50774,0
32113,0
28810,0
3802,0
5948,0
51846,0
18244,0
6886,0
40911,0
30574,0
33102,0
7848,1
5011,0
53744,0
1068,0
42024,0
46670,0
14853,0
20712,0
16489,0
39070,0
53650,0
45568,0
24946,1
12105,0
12378,0
59844,1
32167,1
9665,0
27388,0
7266,0
38199,0
5082,1
25198,0
42081,0
5776,0
10525,0
51412,0
31120,0
16814,1
10346,0
29033,0
40959,0
34930,1
44256,0
19486,0
38187,1
19277,0
43388,0
24515,0
46080,0
26323,0
22223,0
5861,0
31968,0
17632,0
40729,0
22842,0
43888,0
19245,0
18875,0
2767,0
47669,0
24879,1
22958,0
59019,0
51795,0
35327,0
18899,0
10502,0
53427,0
36606,0
14582,0
45376,1
45542,0
17646,0
35206,0
58712,0
24593,0
53374,0
18149,0
14812,0
17028,0
42589,0
14510,0
45478,0
26824,0
9414,0
5221,0
1726,0
29113,0
16001,0
23484,1
34178,0
16494,0
48035,0
25044,0
3314,0
57040,1
50633,1
12320,0
52585,0
40632,0
36363,0
57138,0
56557,0
57856,0
38508,1
57754,0
42877,0
304,0
32712,0
52351,0
22600,1
15741,0
14945,0
43247,0
40405,0
10927,0
52594,1
1822,0
58174,0
1856,1
16694,0
40658,0
18904,0
1304,0
14668,0
13761,0
48023,0
8304,0
48150,1
39175,0
36865,0
50480,1
41349,0
6229,0
28607,0
44987,0
44679,0
19186,1
16708,0
15190,0
47417,0
23040,0
52443,0
4983,0
20220,0
50609,0
24393,0
28873,0
36083,0
21331,0
36778,1
5518,0
4335,0
32784,0
46870,0
4271,0
28926,0
3658,0
56148,0
35745,0
30628,0
31886,0
1825,0
14786,0
18601,1
53610,0
25126,0
26970,0
55303,0
4338,0
38141,0
11203,0
33283,0
21552,0
17610,1
31544,1
23801,0
27675,0
7518,0
2063,0
429,0
37915,0
28453,0
480,0
25140,0
38860,0
5070,0
16383,0
18909,1
16728,0
12022,0
37482,1
27106,0
33056,0
25441,0
43452,0
1165,0
15159,1
25849,0
7020,1
33421,0
44465,0
28426,0
5124,0
15164,0
2563,0
9751,0
52535,1
29428,0
637,0
31546,0
31189,1
43474,0
34961,0
24239,1
13822,0
17655,0
41019,1
10396,0
12501,0
1038,1
1862,0
54386,0
52921,0
24229,0
17932,0
671,0
609,1
32409,0
49565,1
54825,0
45932,0
27247,0
53308,1
6616,0
43730,0
30533,0
50102,0
24618,0
35964,0
13192,0
23551,1
35503,0
17322,0
57939,0
20501,0
59177,0
20486,0
49945,0
4588,0
56393,0
3714,1
50107,0
21092,1
58963,1
55007,0
341,0
38942,0
27212,1
29655,0
12945,1
33104,0
59770,0
35199,0
10127,0
26974,0
47026,0
12566,0
52304,0
52697,0
19378,0
48359,0
5715,0
55440,0
44945,1
40355,0
29649,0
57976,0
56247,0
49678,0
8487,0
28228,1
25093,0
5113,0
35478,0
6798,0
16291,0
14296,0
4934,0
45530,0
25575,0
32963,0
14323,0
5105,0
14320,0
39793,0
26630,1
45800,0
20069,0
1201,0
32075,0
30321,0
38318,0
25917,1
56429,0
41032,0
21781,0
699,1
27160,1
44619,0
47819,0
24549,0
38605,0
3764,0
4259,0
53827,1
27491,0
5272,0
15002,0
12138,1
17449,1
31466,1
57313,1
6178,1
33751,0
8458,1
50378,0
54036,0
39973,0
57683,1
37744,0
21329,1
31452,0
28014,0
58588,1
25442,1
52129,0
23303,0
39735,0
40295,0
55610,0
51872,0
34267,0
8512,0
2746,1
5987,1
1828,0
18668,0
15065,0
55755,0
36710,0
28618,0
59311,0
38600,0
14620,0
57388,0
17553,0
4918,0
27987,0
17435,0
2855,0
4137,0
58129,0
27778,1
56650,0
13091,0
8486,0
40547,1
12743,0
52715,0
19889,0
24232,0
4127,0
24630,1
7240,1
14088,0
2645,0
16626,0
11881,0
32205,0
7196,0
46811,0
7025,0
11812,0
35891,1
43468,0
30675,0
45099,0
21419,0
27795,1
52038,1
16611,1
16946,1
29732,0
12025,0
5208,0
26848,0
9828,1
8,0
10678,0
7268,0
33768,0
16411,1
9527,0
24390,0
30034,1
31415,0
8160,0
49676,0
18933,0
26533,0
14001,0
33259,0
19196,0
6961,0
35844,0
23381,0
46413,1
9865,1
38427,0
8780,0
34450,0
39911,0
20409,1
53800,0
27960,0
4315,1
28090,0
59262,0
8915,0
11350,0
13144,0
7963,0
20599,1
6958,0
51448,0
50763,0
20270,0
27923,0
2994,0
48239,0
49137,0
15172,0
22213,0
22315,0
39889,0
27673,0
28585,1
14431,0
55691,0
28249,1
33383,1
3166,1
4909,1
20708,0
54374,1
59651,1
57752,1
23815,0
59105,0
3972,0
52907,0
33593,0
10951,0
34193,0
56385,0
16266,0
51398,0
25573,0
39564,0
4905,0
53664,0
2744,0
25289,0
36633,0
32002,0
20143,0
54962,0
49466,0
19728,0
11931,0
48007,0
6844,0
52800,0
51076,1
30179,0
23425,1
29601,0
58688,0
5095,1
36846,0
31501,0
40545,0
36937,1
4856,1
59907,0
6090,0
25322,0
53483,0
35387,0
13755,0
47118,0
6034,0
49014,0
52658,0
19076,0
26192,0
16189,0
49730,0
38669,0
53940,0
221,0
11852,0
27029,0
58659,0
56294,1
34276,0
12808,0
24749,0
5932,0
39171,0
57871,0
1095,0
37587,0
35566,0
20782,0
42718,1
4400,0
9919,0
30875,0
32637,0
13939,0
30143,0
43299,0
18498,1
50988,0
56254,0
7317,0
9027,0
36177,1
38659,0
4406,0
15527,0
696,0
56561,0
27295,1
26873,1
7057,0
13469,0
29523,1
37527,1
3442,0
50738,0
5759,0
58009,0
18281,0
40805,0
7307,1
3224,0
15541,0
12383,0
56640,0
27845,0
49875,1
42912,0
40787,1
33898,0
24049,0
20994,0
2957,0
24971,0
16350,0
11912,0
12008,0
46059,1
8725,0
23067,1
25861,0
16100,0
21685,0
7872,0
724,0
5699,0
13379,0
13006,0
20334,0
32930,1
27779,0
2291,0
4166,1
16836,1
43443,1
34987,1
29987,0
15821,0
29961,0
31325,1
14573,1
28509,0
12222,0
42376,0
2118,0
24494,0
56877,0
9651,0
15239,0
55972,0
5684,0
30194,0
6807,0
31558,0
28212,0
58705,0
19406,1
6135,0
5661,0
22972,0
4773,0
51819,0
8066,0
50947,0
43662,0
17848,1
37258,1
43356,0
38479,0
28555,0
51915,0
8270,1
19506,1
47704,0
4262,0
58105,0
39368,0
5042,0
35567,0
18371,0
27786,0
32649,1
14093,0
43169,1
16070,0
58229,0
11623,0
1035,0
41592,1
45086,0
42189,0
30912,0
18681,0
21712,0
52571,0
56800,0
39632,1
4731,0
25899,0
41028,1
52392,0
19445,0
41734,0
38131,1
47633,0
23557,0
14795,0
56380,1
54124,0
23536,0
23246,0
17883,0
31341,0
45773,0
41552,0
49933,0
17955,0
37778,0
51701,0
50302,0
14909,0
16252,0
14326,0
30941,0
2897,0
56410,0
3871,0
45854,0
31871,0
12135,0
58862,0
34275,0
51913,1
43739,0
54756,0
52540,0
48731,0
25741,0
32749,0
36475,0
54773,0
11202,0
55176,0
29186,0
2913,0
42951,0
14889,1
13170,0
39281,0
39023,0
14747,0
17902,0
3950,0
53601,0
53018,0
197,0
31179,0
5317,0
24019,0
27950,0
15987,0
24315,0
5327,0
54460,0
35608,1
47427,0
29295,0
41171,0
35900,0
48214,0
38657,0
37504,1
29736,0
9364,1
47998,0
41785,0
32109,0
24629,0
36809,0
58433,1
50904,0
53959,0
43307,0
40078,0
24623,0
25513,0
1359,0
34228,0
58504,0
12760,1
55908,0
