,age,body_type,diet,drinks,drugs,height,sex,smokes
77,25,larger,anything,1,0,65.0,f,no
78,34,larger,anything,1,0,67.0,f,no
79,21,fit,anything,1,0,71.0,m,no
80,28,average,anything,2,0,67.0,f,no
81,31,average,anything,1,0,69.0,m,no
82,34,fit,anything,1,0,69.0,m,no
83,32,average,anything,1,0,64.0,f,no
84,30,fit,anything,1,0,73.0,m,no
85,28,average,anything,1,0,68.0,m,no
86,40,fit,anything,1,0,66.0,f,no
87,27,larger,anything,2,0,61.0,f,no
88,43,larger,anything,1,0,71.0,m,no
89,37,average,anything,1,0,64.0,f,no
90,24,average,anything,1,0,74.0,m,no
91,29,unknown,anything,1,0,74.0,m,no
92,29,larger,anything,1,1,67.0,f,no
93,28,fit,vegetarian,1,0,69.0,m,no
94,29,fit,anything,1,1,67.0,m,no
95,25,fit,anything,1,0,78.0,m,no
96,34,average,other,2,0,75.0,m,no
97,39,fit,anything,1,0,70.0,m,no
98,31,larger,anything,1,1,66.0,f,no
99,46,average,anything,1,0,72.0,m,no
100,38,average,anything,1,0,71.0,m,no
101,30,fit,anything,1,0,68.0,m,no
102,41,fit,anything,1,2,69.0,m,no
103,39,fit,other,1,1,70.0,m,no
104,31,average,anything,1,0,63.0,f,no
105,42,fit,anything,1,0,65.0,f,no
106,45,fit,anything,1,0,64.0,f,no
107,21,fit,anything,1,0,72.0,m,no
108,28,unknown,anything,1,0,64.0,f,no
109,29,fit,anything,1,0,66.0,m,no
110,36,average,anything,1,0,68.0,m,no
111,28,fit,anything,1,0,71.0,m,no
112,24,fit,anything,1,0,74.0,m,no
113,23,larger,anything,1,0,66.0,f,yes
114,36,fit,anything,2,1,70.0,m,no
115,35,average,anything,1,0,72.0,m,yes
116,18,unknown,anything,1,0,68.0,m,no
117,55,fit,anything,0,0,67.0,m,no
118,21,average,vegetarian,0,0,65.0,f,no
119,28,average,anything,1,0,66.0,f,no
120,24,average,anything,1,0,71.0,m,no
121,50,fit,anything,1,0,75.0,m,no
122,23,fit,anything,1,1,66.0,m,yes
123,21,average,anything,1,2,70.0,m,yes
124,27,larger,anything,1,0,62.0,f,no
125,27,fit,anything,1,0,68.0,m,no
126,43,average,anything,1,0,73.0,m,no
127,27,fit,anything,1,1,68.0,m,no
128,26,average,anything,2,0,71.0,m,yes
129,26,average,anything,1,0,66.0,m,no
130,30,unknown,anything,1,1,69.0,m,no
131,32,larger,vegetarian,1,0,68.0,f,yes
132,43,larger,vegetarian,1,0,68.0,f,no
133,39,average,anything,1,0,68.0,f,no
134,22,fit,anything,1,0,68.0,m,no
135,33,fit,anything,1,0,67.0,f,no
136,24,average,vegan,1,0,75.0,m,yes
137,50,average,anything,2,0,73.0,m,no
138,32,average,anything,0,0,67.0,m,no
139,23,fit,anything,1,0,73.0,m,no
140,32,fit,anything,1,0,62.0,f,no
141,59,fit,anything,1,0,73.0,m,no
142,36,fit,anything,2,1,73.0,m,no
143,29,fit,anything,1,0,74.0,m,no
144,39,fit,anything,1,0,63.0,f,no
145,24,average,anything,1,0,67.0,m,no
146,28,average,anything,2,2,70.0,m,no
147,50,fit,anything,1,0,66.0,m,no
148,32,fit,anything,1,0,64.0,f,no
149,41,fit,anything,1,0,67.0,f,no
150,50,average,vegetarian,1,1,63.0,f,no
151,44,unknown,anything,1,0,68.0,m,no
152,48,average,anything,1,0,68.0,m,no
153,24,average,anything,1,1,75.0,m,yes
154,26,fit,anything,0,0,73.0,m,no
155,29,average,anything,1,0,61.0,f,no
156,40,larger,anything,1,0,62.0,f,no
157,29,average,vegetarian,1,0,68.0,f,no
158,54,larger,anything,1,0,69.0,f,no
159,20,fit,anything,1,0,63.0,f,no
160,51,average,anything,1,0,62.0,f,yes
161,33,average,anything,1,0,66.0,f,yes
162,28,unknown,anything,1,0,66.0,m,no
163,37,fit,anything,1,0,66.0,f,no
164,20,average,anything,1,0,72.0,m,no
165,30,unknown,anything,1,1,74.0,m,yes
166,36,fit,anything,1,0,72.0,m,no
167,26,larger,anything,1,0,63.0,f,no
168,26,fit,anything,1,0,68.0,f,no
169,33,average,anything,1,0,66.0,f,no
170,20,average,anything,1,0,66.0,f,no
171,31,fit,other,1,0,70.0,m,no
172,62,fit,anything,1,0,73.0,m,no
173,33,fit,anything,1,0,63.0,f,no
174,22,larger,anything,1,0,69.0,m,yes
175,46,fit,anything,1,0,66.0,m,no
176,27,fit,anything,1,0,68.0,m,no
177,29,larger,halal,2,0,72.0,m,yes
178,36,average,vegetarian,1,0,68.0,f,no
179,25,larger,anything,2,1,71.0,m,yes
180,32,fit,anything,1,0,69.0,m,no
181,21,fit,anything,1,0,66.0,f,no
182,27,larger,anything,2,0,68.0,f,no
183,38,fit,anything,0,0,70.0,m,no
184,27,average,anything,0,0,74.0,m,no
185,44,fit,anything,1,0,63.0,f,no
186,52,fit,anything,2,0,66.0,f,no
187,33,fit,anything,1,0,60.0,f,no
188,28,fit,anything,1,0,67.0,f,no
189,37,fit,anything,0,0,79.0,m,no
190,28,average,vegetarian,1,0,61.0,f,no
191,32,average,anything,1,0,69.0,m,no
192,29,larger,anything,2,1,69.0,f,yes
193,31,unknown,vegetarian,1,0,67.0,m,no
194,42,fit,anything,1,0,71.0,m,no
195,32,larger,anything,1,0,63.0,f,yes
196,28,fit,anything,1,1,67.0,m,yes
197,38,fit,anything,1,0,63.0,f,no
198,27,unknown,anything,1,0,64.0,f,no
199,19,larger,anything,1,0,62.0,f,no
200,27,fit,anything,1,0,65.0,f,no
201,28,fit,anything,1,0,67.0,m,no
202,29,fit,anything,1,0,66.0,f,no
203,31,fit,anything,1,0,63.0,f,yes
204,27,average,anything,1,0,63.0,f,no
205,43,larger,anything,1,0,69.0,f,no
206,43,average,anything,1,1,71.0,m,yes
207,24,fit,anything,2,0,69.0,f,no
208,34,fit,anything,1,1,67.0,f,no
209,30,average,anything,1,0,66.0,f,no
210,59,larger,anything,1,0,62.0,f,no
211,33,average,anything,1,0,72.0,m,no
212,41,average,anything,1,0,69.0,m,no
213,58,average,anything,1,0,69.0,m,no
214,24,average,vegetarian,1,0,59.0,f,yes
215,39,average,anything,0,0,74.0,m,no
216,33,fit,anything,2,1,70.0,m,no
217,43,average,anything,1,0,65.0,f,no
218,29,average,anything,1,1,70.0,m,no
219,28,average,anything,1,0,66.0,f,no
220,21,larger,anything,0,0,70.0,m,no
221,35,fit,anything,1,0,64.0,f,no
222,32,fit,anything,1,0,69.0,m,yes
223,42,fit,anything,1,0,63.0,f,no
224,23,larger,anything,2,1,62.0,f,no
225,30,average,anything,1,0,68.0,f,no
226,27,fit,anything,0,0,71.0,m,yes
227,41,fit,anything,0,0,71.0,f,no
228,33,larger,anything,1,0,69.0,m,no
229,58,fit,anything,1,0,70.0,f,no
230,26,unknown,anything,1,0,72.0,m,no
231,50,average,anything,1,0,66.0,f,no
232,45,fit,anything,1,1,65.0,f,no
233,66,fit,anything,1,0,65.0,f,no
234,33,average,anything,1,0,68.0,m,no
235,32,larger,anything,1,1,68.0,m,yes
236,53,fit,anything,1,1,62.0,f,yes
237,28,average,anything,1,0,72.0,m,yes
238,22,average,vegetarian,1,0,63.0,f,no
239,19,average,anything,1,1,73.0,m,no
240,35,average,other,1,0,67.0,m,no
241,51,unknown,anything,1,0,65.0,f,no
242,30,average,anything,1,0,69.0,m,no
243,29,fit,other,1,0,80.0,m,no
244,32,fit,anything,2,1,61.0,f,no
245,45,larger,anything,1,0,63.0,f,no
246,28,fit,anything,1,1,73.0,m,no
247,36,average,anything,1,0,63.0,f,no
248,40,larger,anything,1,0,71.0,m,no
249,34,average,anything,1,0,62.0,f,yes
250,24,larger,anything,1,0,68.0,f,no
251,39,average,anything,1,0,72.0,m,yes
252,33,fit,anything,1,0,65.0,f,no
253,26,larger,anything,2,1,67.0,f,no
254,36,fit,anything,1,1,67.0,m,no
255,46,fit,anything,1,0,68.0,m,no
256,21,average,anything,1,0,67.0,m,no
257,63,average,anything,1,0,67.0,f,no
258,30,average,anything,1,0,62.0,f,no
259,50,average,anything,1,0,63.0,f,no
260,50,average,anything,1,0,64.0,f,no
261,34,average,anything,1,0,72.0,m,no
262,40,average,anything,1,0,62.0,f,no
263,46,average,anything,1,0,66.0,f,no
264,41,fit,anything,1,0,67.0,m,yes
265,29,fit,anything,1,0,62.0,f,no
266,53,average,other,1,0,69.0,f,no
267,39,fit,vegetarian,1,0,69.0,m,no
268,39,larger,anything,1,0,64.0,f,no
269,24,unknown,anything,1,0,62.0,f,no
270,26,fit,anything,1,0,70.0,m,no
271,25,unknown,anything,1,1,64.0,f,no
272,59,average,anything,0,0,63.0,f,no
273,28,larger,anything,1,0,67.0,f,yes
274,29,fit,anything,2,1,68.0,m,yes
275,35,average,anything,1,0,67.0,m,no
276,25,unknown,anything,1,0,65.0,f,no
277,36,fit,anything,1,1,67.0,f,no
278,42,fit,anything,1,1,64.0,f,no
279,25,fit,anything,1,0,71.0,f,no
280,27,fit,anything,1,0,80.0,m,no
281,45,average,other,1,0,60.0,f,no
282,37,fit,anything,1,0,71.0,m,no
283,47,average,anything,1,0,69.0,m,no
284,24,larger,anything,1,0,67.0,f,no
285,53,larger,anything,0,0,64.0,f,no
286,26,unknown,anything,1,0,62.0,f,yes
287,49,average,vegetarian,1,1,63.0,f,no
288,24,average,anything,1,0,61.0,f,no
289,19,fit,anything,2,1,69.0,m,no
290,26,larger,other,1,0,76.0,m,no
291,30,fit,anything,1,1,70.0,m,no
292,26,fit,vegetarian,1,1,72.0,m,no
293,36,fit,anything,1,0,63.0,f,no
294,24,fit,anything,1,1,69.0,m,yes
295,47,average,anything,0,0,72.0,m,yes
296,51,fit,anything,1,0,70.0,m,no
297,28,fit,anything,1,0,73.0,m,no
298,48,average,vegetarian,1,0,62.0,f,no
299,37,larger,anything,1,0,62.0,f,no
300,47,fit,anything,0,0,72.0,m,no
301,34,larger,anything,1,1,66.0,f,yes
302,37,fit,anything,2,1,65.0,f,yes
303,25,fit,anything,1,1,70.0,m,yes
304,32,fit,anything,1,0,71.0,m,no
305,42,fit,anything,1,0,71.0,f,no
306,33,average,anything,1,0,64.0,f,no
307,34,fit,anything,1,2,63.0,f,no
308,42,average,other,1,1,75.0,m,yes
309,29,fit,anything,1,0,70.0,m,no
310,55,average,anything,1,0,73.0,m,no
311,32,unknown,anything,1,0,68.0,m,no
312,25,fit,anything,1,0,69.0,m,no
313,31,average,vegetarian,0,0,64.0,f,no
314,45,fit,anything,1,0,68.0,m,no
315,39,average,anything,0,0,68.0,f,no
316,50,fit,anything,1,0,74.0,m,no
317,29,larger,vegetarian,1,0,61.0,f,no
318,50,average,anything,0,0,66.0,f,no
319,43,average,anything,1,0,62.0,f,no
320,63,larger,anything,1,1,67.0,f,no
321,35,fit,vegetarian,1,0,72.0,m,no
322,19,average,vegetarian,1,1,67.0,f,yes
323,62,average,anything,1,0,64.0,f,no
324,44,fit,anything,1,0,68.0,f,no
325,30,fit,anything,1,0,63.0,f,no
326,24,fit,vegetarian,1,0,69.0,m,no
327,40,larger,anything,0,0,68.0,f,no
328,63,average,anything,1,0,65.0,f,no
329,45,fit,anything,1,0,66.0,m,no
330,53,average,anything,1,0,62.0,f,no
331,36,unknown,anything,1,1,72.0,m,no
332,22,fit,anything,1,1,70.0,m,yes
333,19,fit,anything,0,0,69.0,m,no
334,32,unknown,anything,1,0,64.0,f,no
335,61,average,anything,1,0,63.0,f,yes
336,20,unknown,anything,1,0,60.0,f,no
337,34,fit,anything,1,0,65.0,f,no
338,34,fit,anything,1,0,67.0,f,no
339,36,average,anything,1,0,72.0,m,no
340,29,fit,vegetarian,1,0,71.0,m,no
341,30,fit,anything,1,0,73.0,m,yes
342,40,unknown,anything,1,0,68.0,m,no
343,28,fit,anything,1,0,62.0,f,no
344,20,average,anything,1,1,69.0,m,no
345,40,fit,anything,1,1,71.0,m,yes
346,43,fit,anything,1,0,66.0,f,no
347,19,larger,anything,0,0,72.0,m,no
348,60,fit,anything,0,0,68.0,m,no
349,66,average,anything,0,0,73.0,m,no
350,39,fit,anything,1,0,67.0,m,yes
351,28,average,anything,1,0,75.0,m,no
352,34,fit,anything,1,0,74.0,m,no
353,32,average,anything,1,0,74.0,m,no
354,34,larger,anything,1,0,68.0,f,no
355,29,fit,anything,1,0,64.0,f,no
356,26,fit,vegetarian,1,0,75.0,m,no
357,43,larger,anything,1,0,63.0,f,yes
358,44,average,anything,1,0,65.0,f,no
359,32,fit,anything,2,0,72.0,m,no
360,37,larger,vegetarian,1,1,68.0,f,yes
361,30,average,anything,2,1,69.0,f,no
362,26,average,anything,1,0,73.0,m,no
363,23,fit,anything,1,0,70.0,m,no
364,31,fit,anything,1,0,69.0,m,yes
365,34,average,anything,1,0,73.0,m,no
366,48,fit,anything,1,0,69.0,m,no
367,35,average,anything,1,0,71.0,m,no
368,25,unknown,anything,1,2,73.0,m,no
369,27,average,anything,1,0,63.0,f,no
370,27,fit,anything,1,0,67.0,m,no
371,22,average,anything,1,0,64.0,f,no
372,35,average,vegan,1,0,71.0,m,no
373,26,unknown,anything,1,0,72.0,m,no
374,32,larger,anything,1,0,74.0,m,yes
375,32,average,anything,1,0,72.0,m,no
376,23,average,anything,1,0,71.0,m,yes
377,40,average,anything,1,0,64.0,f,yes
378,47,fit,anything,1,0,66.0,f,no
379,31,fit,anything,1,0,74.0,m,no
380,30,fit,anything,1,0,68.0,m,no
381,25,fit,anything,1,0,70.0,f,no
382,33,average,anything,0,0,68.0,m,no
383,54,fit,vegetarian,1,0,76.0,m,no
384,30,fit,anything,1,0,72.0,m,no
385,45,fit,anything,1,1,70.0,m,no
386,30,fit,vegetarian,1,0,67.0,m,no
387,49,fit,anything,1,0,64.0,m,no
388,32,average,anything,1,0,68.0,m,yes
389,24,fit,anything,1,0,66.0,f,no
390,57,fit,vegan,1,1,69.0,m,no
391,41,average,anything,1,0,72.0,m,no
392,37,larger,anything,2,1,61.0,f,no
393,35,fit,anything,1,0,74.0,m,no
394,40,fit,anything,1,0,64.0,f,no
395,50,fit,anything,1,0,66.0,f,no
396,40,fit,anything,1,1,73.0,m,no
397,37,fit,vegetarian,0,0,76.0,m,no
398,60,fit,anything,1,0,71.0,m,no
399,47,fit,anything,1,0,69.0,m,no
400,29,fit,anything,2,1,71.0,m,no
401,29,fit,anything,1,0,71.0,m,yes
402,22,fit,anything,2,1,84.0,f,no
403,44,unknown,anything,1,0,74.0,m,no
404,57,average,vegetarian,1,0,62.0,f,no
405,43,larger,anything,1,0,67.0,f,no
406,20,average,anything,1,0,62.0,f,no
407,29,average,vegetarian,1,0,71.0,m,no
408,30,unknown,anything,2,1,70.0,m,no
409,25,fit,anything,1,0,72.0,m,no
410,39,fit,anything,1,0,72.0,m,no
411,41,average,anything,1,0,64.0,f,no
412,30,fit,anything,1,0,72.0,m,no
413,23,fit,anything,1,0,68.0,m,no
414,49,larger,other,1,0,68.0,f,no
415,59,average,anything,1,0,71.0,m,no
416,39,fit,anything,1,0,66.0,m,no
417,38,fit,anything,1,0,67.0,m,no
418,59,fit,anything,1,0,68.0,f,no
419,26,unknown,kosher,1,0,61.0,f,no
420,33,larger,anything,2,0,73.0,f,no
421,46,unknown,anything,1,1,71.0,m,no
422,36,average,anything,1,0,71.0,m,no
423,40,larger,anything,1,1,64.0,f,yes
424,29,average,anything,1,0,72.0,m,no
425,30,average,vegetarian,1,0,67.0,f,no
426,30,unknown,anything,1,0,65.0,f,no
427,33,larger,anything,1,1,74.0,m,no
428,29,fit,anything,1,0,68.0,m,no
429,23,average,anything,1,0,61.0,f,no
430,33,fit,anything,2,1,71.0,m,no
431,28,fit,anything,1,0,67.0,m,no
432,31,unknown,anything,2,2,65.0,m,no
433,29,larger,vegetarian,1,1,79.0,m,no
434,44,larger,anything,1,0,61.0,f,no
435,28,average,anything,1,0,66.0,f,no
436,47,fit,anything,1,0,76.0,m,no
437,24,fit,anything,1,0,69.0,m,no
438,28,fit,anything,1,1,70.0,m,no
439,40,average,anything,1,0,65.0,f,no
440,24,fit,anything,1,0,72.0,m,yes
441,20,unknown,anything,1,1,71.0,m,no
442,39,average,anything,0,0,71.0,m,no
443,52,fit,anything,1,0,62.0,f,no
444,39,average,anything,1,0,70.0,m,no
445,33,average,anything,1,0,72.0,m,no
446,26,average,other,1,0,70.0,f,no
447,31,unknown,anything,1,0,69.0,m,no
448,27,fit,anything,1,0,71.0,m,no
449,60,fit,anything,0,0,70.0,m,no
450,52,average,anything,2,0,65.0,f,no
451,42,larger,anything,1,0,64.0,f,yes
452,31,larger,anything,1,0,68.0,f,no
453,38,fit,vegetarian,1,0,68.0,m,no
454,26,fit,anything,1,0,67.0,m,no
455,32,fit,anything,1,0,64.0,f,no
456,40,fit,anything,1,0,72.0,m,no
457,32,fit,anything,1,0,61.0,f,no
458,31,fit,vegan,1,0,64.0,f,no
459,32,fit,anything,1,0,72.0,m,no
460,22,average,anything,1,0,64.0,f,no
461,37,fit,anything,1,1,70.0,m,no
462,33,fit,anything,1,0,63.0,f,no
463,44,average,anything,1,0,72.0,m,yes
464,18,fit,anything,1,0,66.0,m,no
465,38,average,anything,1,1,65.0,m,yes
466,23,average,anything,1,1,64.0,f,no
467,33,average,anything,1,0,65.0,f,no
468,24,fit,other,1,2,64.0,f,no
469,32,average,anything,1,0,64.0,f,no
470,27,average,anything,1,0,63.0,f,no
471,39,fit,vegan,0,0,63.0,f,no
472,47,fit,vegetarian,1,0,66.0,f,no
473,33,fit,anything,1,1,70.0,m,yes
474,38,fit,anything,0,0,70.0,m,no
475,42,fit,anything,1,0,67.0,f,no
476,42,fit,anything,1,0,70.0,m,no
477,21,fit,anything,1,0,68.0,f,yes
478,35,fit,anything,2,0,73.0,m,no
479,38,fit,vegetarian,1,0,64.0,f,no
480,34,average,anything,1,1,64.0,f,no
481,27,fit,anything,1,0,71.0,m,yes
482,29,average,anything,1,0,71.0,m,no
483,27,larger,anything,1,0,62.0,f,no
484,23,fit,anything,1,0,67.0,m,no
485,33,larger,anything,1,1,67.0,m,no
486,25,average,anything,1,0,70.0,m,no
487,31,unknown,anything,1,0,66.0,f,no
488,24,average,anything,1,0,72.0,f,no
489,49,average,anything,1,1,70.0,m,no
490,23,larger,anything,2,2,72.0,m,no
491,23,larger,anything,1,0,66.0,f,no
492,22,unknown,vegetarian,1,0,63.0,f,yes
493,48,fit,anything,1,0,70.0,m,no
494,27,fit,anything,1,0,71.0,m,no
495,30,unknown,anything,1,0,68.0,m,no
496,59,fit,anything,1,0,64.0,m,no
497,27,average,anything,1,0,70.0,m,no
498,24,fit,anything,1,0,68.0,m,no
499,32,unknown,anything,1,0,69.0,f,no
500,24,fit,anything,1,0,74.0,m,no
501,32,unknown,anything,2,0,72.0,m,no
502,30,fit,anything,1,0,75.0,m,no
503,40,larger,anything,1,0,65.0,f,no
504,18,fit,anything,1,0,73.0,m,no
505,29,fit,anything,1,0,69.0,m,no
506,32,fit,anything,1,0,62.0,f,no
507,27,average,vegetarian,1,0,64.0,f,no
508,56,larger,anything,1,0,68.0,f,no
509,35,fit,anything,1,0,70.0,m,no
510,20,fit,anything,1,1,67.0,m,no
511,30,fit,anything,1,0,72.0,m,no
512,43,average,anything,2,2,69.0,m,yes
513,27,fit,anything,1,0,68.0,m,no
514,30,average,anything,1,0,71.0,m,no
515,58,unknown,anything,2,0,72.0,m,no
516,31,fit,anything,1,0,68.0,m,no
517,34,unknown,anything,1,0,72.0,m,no
518,41,average,anything,1,0,75.0,m,yes
519,27,average,anything,1,0,67.0,f,yes
520,37,average,anything,1,0,68.0,m,no
521,35,average,anything,1,0,67.0,f,no
522,26,fit,anything,1,0,73.0,m,yes
523,28,fit,anything,1,0,72.0,m,no
524,32,average,anything,2,0,76.0,m,no
525,38,fit,anything,1,0,68.0,f,no
526,42,fit,anything,1,0,72.0,m,no
527,25,fit,anything,1,0,67.0,m,yes
528,34,average,anything,1,0,66.0,f,no
529,46,fit,anything,1,0,71.0,m,no
530,31,average,anything,1,1,69.0,m,no
531,26,larger,anything,1,0,64.0,f,no
532,37,fit,anything,1,1,75.0,m,no
533,28,fit,anything,1,1,69.0,f,yes
534,21,average,vegetarian,1,0,67.0,m,no
535,50,average,anything,2,0,70.0,m,no
536,24,average,anything,0,0,71.0,f,no
537,24,unknown,anything,2,1,74.0,m,no
538,32,average,anything,1,0,69.0,m,no
539,50,fit,anything,2,0,68.0,m,no
540,33,average,anything,1,0,60.0,f,no
541,38,average,other,0,0,68.0,m,yes
542,49,fit,anything,1,1,70.0,m,no
543,35,fit,anything,1,2,70.0,m,no
544,20,larger,vegan,1,0,60.0,f,no
545,22,fit,anything,0,0,67.0,m,no
546,32,larger,anything,1,1,83.0,m,yes
547,25,average,anything,1,2,70.0,m,yes
548,26,larger,vegan,2,2,59.0,f,no
549,23,average,anything,1,1,71.0,m,no
550,43,average,anything,1,0,77.0,m,no
551,28,fit,anything,1,0,69.0,m,no
552,44,fit,anything,1,1,76.0,m,no
553,22,average,anything,1,0,71.0,m,no
554,31,fit,vegetarian,1,0,68.0,f,no
555,65,unknown,anything,1,0,70.0,m,no
556,36,larger,anything,1,0,70.0,f,no
557,35,average,anything,1,0,62.0,f,no
558,40,larger,other,1,0,70.0,f,no
559,30,larger,anything,1,0,66.0,f,no
560,26,average,vegetarian,1,1,72.0,m,no
561,23,fit,vegetarian,1,0,73.0,m,no
562,27,unknown,anything,1,1,68.0,m,no
563,36,average,anything,2,1,72.0,m,no
564,41,fit,anything,2,0,66.0,f,no
565,45,fit,anything,1,0,70.0,m,no
566,48,average,anything,1,0,68.0,m,no
567,26,average,anything,2,0,76.0,m,yes
568,23,fit,anything,1,0,67.0,m,no
569,28,average,anything,1,0,68.0,f,no
570,29,average,anything,1,0,74.0,m,no
571,42,unknown,anything,1,0,67.0,f,no
572,33,average,anything,0,0,60.0,f,no
573,52,larger,anything,1,0,70.0,m,no
574,25,fit,anything,1,0,63.0,m,yes
575,61,fit,anything,1,0,68.0,m,no
576,28,average,anything,1,0,71.0,m,yes
577,35,average,vegetarian,0,1,73.0,m,no
578,34,fit,anything,1,0,72.0,m,no
579,59,average,anything,1,0,68.0,f,no
580,31,fit,anything,1,0,77.0,m,yes
581,19,larger,anything,1,0,73.0,m,no
582,29,fit,anything,1,0,68.0,f,no
583,55,larger,anything,1,0,66.0,f,no
584,45,average,anything,1,0,65.0,m,no
585,49,average,anything,1,0,69.0,f,no
586,21,average,anything,1,0,71.0,m,no
587,27,larger,anything,1,0,61.0,f,no
588,24,unknown,anything,1,0,68.0,f,no
589,25,average,anything,1,0,63.0,f,no
590,44,average,vegetarian,1,1,63.0,f,yes
591,52,fit,anything,1,0,72.0,m,no
592,30,fit,anything,1,1,66.0,f,no
593,58,larger,anything,1,0,64.0,f,no
594,33,average,anything,1,0,63.0,f,no
595,44,fit,anything,1,0,68.0,f,no
596,31,fit,anything,2,0,69.0,f,no
597,38,larger,anything,1,1,67.0,f,no
598,47,average,anything,1,0,63.0,f,no
599,29,average,anything,1,0,74.0,m,yes
600,28,fit,vegetarian,2,1,68.0,m,no
601,40,fit,anything,1,0,67.0,f,no
602,64,average,anything,1,0,67.0,f,no
603,52,average,anything,1,0,63.0,f,no
604,37,fit,vegetarian,1,0,64.0,m,no
605,33,larger,anything,1,0,67.0,f,no
606,58,average,anything,1,0,72.0,m,no
607,43,fit,anything,1,0,72.0,m,no
608,27,fit,anything,1,0,65.0,m,no
609,57,larger,anything,0,0,68.0,f,no
610,64,fit,vegetarian,1,0,69.0,f,no
611,41,larger,anything,1,0,69.0,m,no
612,35,fit,anything,1,1,74.0,m,no
613,26,average,anything,1,0,73.0,m,yes
614,52,larger,other,1,0,72.0,m,no
615,45,larger,anything,1,0,63.0,f,no
616,24,average,anything,0,0,68.0,f,no
617,26,average,anything,1,0,68.0,m,no
618,25,unknown,anything,1,0,75.0,m,no
619,35,fit,anything,1,0,73.0,m,no
620,25,fit,anything,1,0,68.0,f,yes
621,33,fit,anything,1,0,67.0,m,no
622,41,average,anything,1,1,73.0,m,no
623,26,average,anything,1,0,64.0,f,no
624,27,larger,anything,2,1,71.0,m,yes
625,25,fit,anything,1,0,64.0,f,no
626,39,fit,anything,1,1,63.0,f,no
627,35,fit,anything,1,0,71.0,m,no
628,30,larger,anything,1,0,64.0,f,no
629,21,fit,anything,1,1,74.0,m,yes
